scope,scope_kind,category_name,indicator_id,indicator_name,unit,measured_value,satisfaction,target,threshold,worst,one_sided,provenance,n_cases,n_measured,n_not_applicable,n_no_start,n_no_end,coverage,source
administrative_appeal_prefecture,category,Resolve via administrative appeal to the Prefecture,175,"Time to appeal filing, Judge (days)",days,162.1845238095238,-100.0,30.0,30.0,60.0,True,statutory,3733,21,3712,0,0,1.0,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
administrative_appeal_prefecture,category,Resolve via administrative appeal to the Prefecture,114,Average time to case closure (days),days,381.69272466039706,-100.0,150.0,180.0,365.0,False,external-by-analogy,3733,638,0,0,3095,0.1709,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
merged_closure,category,Merged Resolution and Closure,112,Time to fine dispatch (days),days,71.403730703259,30.0,30.0,90.0,360.0,False,statutory,583,583,0,0,0,1.0,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
merged_closure,category,Merged Resolution and Closure,113,"Time to appeal filing, Prefecture (days)",days,87.40833333333333,-45.0,60.0,60.0,120.0,True,statutory,583,10,570,0,3,0.7692,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
merged_closure,category,Merged Resolution and Closure,175,"Time to appeal filing, Judge (days)",days,,,30.0,30.0,60.0,True,statutory,583,0,583,0,0,0.0,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
merged_closure,category,Merged Resolution and Closure,114,Average time to case closure (days),days,118.45261578044597,100.0,150.0,180.0,365.0,False,external-by-analogy,583,583,0,0,0,1.0,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
judicial_appeal_judge,category,Resolve via judicial appeal to the Judge,112,Time to fine dispatch (days),days,100.66254025764894,-3.0,30.0,90.0,360.0,False,statutory,414,414,0,0,0,1.0,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
judicial_appeal_judge,category,Resolve via judicial appeal to the Judge,113,"Time to appeal filing, Prefecture (days)",days,37.243101545253865,100.0,60.0,60.0,120.0,True,statutory,414,151,256,6,1,0.9557,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
judicial_appeal_judge,category,Resolve via judicial appeal to the Judge,175,"Time to appeal filing, Judge (days)",days,110.46966834592779,-100.0,30.0,30.0,60.0,True,statutory,414,397,0,17,0,0.9589,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
judicial_appeal_judge,category,Resolve via judicial appeal to the Judge,114,Average time to case closure (days),days,607.0722298534799,-100.0,150.0,180.0,365.0,False,external-by-analogy,414,364,0,0,50,0.8792,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
